Name,Type 1,Type 2,HP,Attack,Defense,Speed,Sp. Def,Sp. Atk,Legendary,
Bulbasaur,Grass,Poison,45,49,49,45,65,65,false,
Ivysaur,Grass,Poison,60,62,63,60,80,80,false,
Venusaur,Grass,Poison,80,82,83,80,100,100,false,
Charmander,Fire,,39,52,43,65,50,60,false,
Charmeleon,Fire,,58,64,58,80,65,80,false,
Charizard,Fire,Flying,78,84,78,100,85,109,false,
Squirtle,Water,,44,48,65,43,64,50,false,
Wartortle,Water,,59,63,80,58,80,65,false,
Blastoise,Water,,79,83,100,78,105,85,false,
Caterpie,Bug,,45,30,35,45,20,20,false,
Metapod,Bug,,50,20,55,30,25,25,false,
Butterfree,Bug,Flying,60,45,50,70,80,90,false,
Weedle,Bug,Poison,40,35,30,50,20,20,false,
Kakuna,Bug,Poison,45,25,50,35,25,25,false,
Beedrill,Bug,Poison,65,90,40,75,80,45,false,
Pidgey,Normal,Flying,40,45,40,56,35,35,false,
Pidgeotto,Normal,Flying,63,60,55,71,50,50,false,
Pidgeot,Normal,Flying,83,80,75,101,70,70,false,
Rattata,Normal,,30,56,35,72,35,25,false,
Raticate,Normal,,55,81,60,97,70,50,false,
Spearow,Normal,Flying,40,60,30,70,31,31,false,
Fearow,Normal,Flying,65,90,65,100,61,61,false,
Ekans,Poison,,35,60,44,55,54,40,false,
Arbok,Poison,,60,85,69,80,79,65,false,
Pikachu,Electric,,35,55,40,90,50,50,false,
Raichu,Electric,,60,90,55,110,80,90,false,
Sandshrew,Ground,,50,75,85,40,30,20,false,
Sandslash,Ground,,75,100,110,65,55,45,false,
Nidoran?,Poison,,55,47,52,41,40,40,false,
Nidorina,Poison,,70,62,67,56,55,55,false,
Nidoqueen,Poison,Ground,90,92,87,76,85,75,false,
Nidoran?,Poison,,46,57,40,50,40,40,false,
Nidorino,Poison,,61,72,57,65,55,55,false,
Nidoking,Poison,Ground,81,102,77,85,75,85,false,
Clefairy,Fairy,,70,45,48,35,65,60,false,
Clefable,Fairy,,95,70,73,60,90,95,false,
Vulpix,Fire,,38,41,40,65,65,50,false,
Ninetales,Fire,,73,76,75,100,100,81,false,
Jigglypuff,Normal,Fairy,115,45,20,20,25,45,false,
Wigglytuff,Normal,Fairy,140,70,45,45,50,85,false,
Zubat,Poison,Flying,40,45,35,55,40,30,false,
Golbat,Poison,Flying,75,80,70,90,75,65,false,
Oddish,Grass,Poison,45,50,55,30,65,75,false,
Gloom,Grass,Poison,60,65,70,40,75,85,false,
Vileplume,Grass,Poison,75,80,85,50,90,110,false,
Paras,Bug,Grass,35,70,55,25,55,45,false,
Parasect,Bug,Grass,60,95,80,30,80,60,false,
Venonat,Bug,Poison,60,55,50,45,55,40,false,
Venomoth,Bug,Poison,70,65,60,90,75,90,false,
Diglett,Ground,,10,55,25,95,45,35,false,
Dugtrio,Ground,,35,80,50,120,70,50,false,
Meowth,Normal,,40,45,35,90,40,40,false,
Persian,Normal,,65,70,60,115,65,65,false,
Psyduck,Water,,50,52,48,55,50,65,false,
Golduck,Water,,80,82,78,85,80,95,false,
Mankey,Fighting,,40,80,35,70,45,35,false,
Primeape,Fighting,,65,105,60,95,70,60,false,
Growlithe,Fire,,55,70,45,60,50,70,false,
Arcanine,Fire,,90,110,80,95,80,100,false,
Poliwag,Water,,40,50,40,90,40,40,false,
Poliwhirl,Water,,65,65,65,90,50,50,false,
Poliwrath,Water,Fighting,90,95,95,70,90,70,false,
Abra,Psychic,,25,20,15,90,55,105,false,
Kadabra,Psychic,,40,35,30,105,70,120,false,
Alakazam,Psychic,,55,50,45,120,95,135,false,
Machop,Fighting,,70,80,50,35,35,35,false,
Machoke,Fighting,,80,100,70,45,60,50,false,
Machamp,Fighting,,90,130,80,55,85,65,false,
Bellsprout,Grass,Poison,50,75,35,40,30,70,false,
Weepinbell,Grass,Poison,65,90,50,55,45,85,false,
Victreebel,Grass,Poison,80,105,65,70,70,100,false,
Tentacool,Water,Poison,40,40,35,70,100,50,false,
Tentacruel,Water,Poison,80,70,65,100,120,80,false,
Geodude,Rock,Ground,40,80,100,20,30,30,false,
Graveler,Rock,Ground,55,95,115,35,45,45,false,
Golem,Rock,Ground,80,120,130,45,65,55,false,
Ponyta,Fire,,50,85,55,90,65,65,false,
Rapidash,Fire,,65,100,70,105,80,80,false,
Slowpoke,Water,Psychic,90,65,65,15,40,40,false,
Slowbro,Water,Psychic,95,75,110,30,80,100,false,
Magnemite,Electric,Steel,25,35,70,45,55,95,false,
Magneton,Electric,Steel,50,60,95,70,70,120,false,
Farfetch'd,Normal,Flying,52,65,55,60,62,58,false,
Doduo,Normal,Flying,35,85,45,75,35,35,false,
Dodrio,Normal,Flying,60,110,70,100,60,60,false,
Seel,Water,,65,45,55,45,70,45,false,
Dewgong,Water,Ice,90,70,80,70,95,70,false,
Grimer,Poison,,80,80,50,25,50,40,false,
Muk,Poison,,105,105,75,50,100,65,false,
Shellder,Water,,30,65,100,40,25,45,false,
